name	type	units	sampling_frequency	description	low_cutoff	high_cutoff	notch	software_filters	status	status_description
E1	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E2	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E3	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E4	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E5	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E6	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E7	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E8	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E9	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E10	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E11	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E12	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E13	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E14	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E15	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E16	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E17	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E18	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E19	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E20	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E21	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E22	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E23	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E24	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E25	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E26	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E27	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E28	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E29	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E30	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E31	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E32	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E33	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E34	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E35	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E36	eeg	microV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
